"DATE","","TRANSACTION DETAILS","CHQ.NO./ Ref No.","VALUE DATE","WITHDRAWAL AMT","DEPOSIT AMT","BALANCE AMT",
"14-Mar-16","CR812411490705/RMCPL23086/0","","28494932340","14-Mar-16","2,000.00","","4,29,508.32",
"14-Mar-16","CR812411490687/RMCPL22777/0","","28494945204","14-Mar-16","4,000.00","","4,25,508.32",
"14-Mar-16","CR812512785361/RMCPL23894/0","","28494876385","14-Mar-16","5,000.00","","4,20,508.32",
"14-Mar-16","CR812509730306/RMCPL25099/0","","28494884395","14-Mar-16","5,000.00","","4,15,508.32",
"14-Mar-16","AEPS ACQ REP ADJ FEES 080","","28494943381","14-Mar-16","","35.4","4,15,543.72",
"14-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494970265","14-Mar-16","","2,72,16,700.00","2,76,32,243.72",
"14-Mar-16","TRF TO","Indiaforensic SERVICES I","28494972312","14-Mar-16","1,50,00,000.00","","1,26,32,243.72",
"14-Mar-16","TRF TO","Indiaforensic SERVICES I","28494882254","14-Mar-16","1,22,00,000.00","","4,32,243.72",
"14-Mar-16","AEPS INCOME DT 09-05-2018","","28494953861","14-Mar-16","","65,719.43","4,97,963.15",
"14-Mar-16","AEPS GST INC DT 09-05-201","","28494938581","14-Mar-16","","13,143.89","5,11,107.04",
"15-Mar-16","AEPS ACQUIRING ADJ FEES 0","","28494943871","15-Mar-16","30","","5,11,077.54",
"15-Mar-16","AEPS ACQ REP ADJ FEES 080","","28494929438","15-Mar-16","","17.7","5,11,095.24",
"15-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494936315","15-Mar-16","","2,55,88,400.00","2,60,99,495.24",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494888968","15-Mar-16","1,50,00,000.00","","1,10,99,495.24",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494885791","15-Mar-16","1,07,00,000.00","","3,99,495.24",
"15-Mar-16","AEPS INCOME DT 10-05-2018","","28494922728","15-Mar-16","","61,415.14","4,60,910.38",
"15-Mar-16","AEPS GST INC DT 10-05-201","","28494879541","15-Mar-16","","12,283.03","4,73,193.41",
"15-Mar-16","AEPS ACQ CR ADJ FEES 1005","","28494877537","15-Mar-16","250","","4,72,943.84",
"15-Mar-16","CR812711265403/RMCPL18417/0","","28494973843","15-Mar-16","4,000.00","","4,68,943.84",
"15-Mar-16","CR812711277017/RMCPL23346/0","","28494933246","15-Mar-16","1,000.00","","4,67,943.84",
"15-Mar-16","CR812712288788/RMCPL18125/0","","28494963757","15-Mar-16","1,000.00","","4,66,943.84",
"15-Mar-16","CR812713301552/RMCPL21311/0","","28494966405","15-Mar-16","700","","4,66,243.84",
"15-Mar-16","CR812710257764/RMCPL17648/0","","28494870375","15-Mar-16","10,000.00","","4,56,243.84",
"15-Mar-16","CR812712288750/RMCPL20136/0","","28494957787","15-Mar-16","2,400.00","","4,53,843.84",
"15-Mar-16","CR812711265425/RMCPL24667/0","","28494865519","15-Mar-16","500","","4,53,343.84",
"15-Mar-16","CR812716358074/RMCPL20396/0","","28494875188","15-Mar-16","3,000.00","","4,50,343.84",
"15-Mar-16","CR812715345810/RMCPL22341/0","","28494883586","15-Mar-16","10,000.00","","4,40,343.84",
"15-Mar-16","CR812711277028/RMCPL14523/0","","28494874529","15-Mar-16","2,000.00","","4,38,343.84",
"15-Mar-16","CR812816610471/RMCPL17468/0","","28494870129","15-Mar-16","9,000.00","","4,29,343.84",
"15-Mar-16","CR812816621117/RMCPL22490/0","","28494872742","15-Mar-16","5,000.00","","4,24,343.84",
"15-Mar-16","CR812810517978/RMCPL21984/0","","28494884782","15-Mar-16","1,700.00","","4,22,643.84",
"15-Mar-16","CR812810527755/RMCPL12626/0","","28494898850","15-Mar-16","6,000.00","","4,16,643.84",
"15-Mar-16","CR812817643120/RMCPL22098/0","","28494881229","15-Mar-16","5,000.00","","4,11,643.84",
"15-Mar-16","CR812811547460/RMCPL00472/0","","28494937905","15-Mar-16","5,000.00","","4,06,643.84",
"15-Mar-16","CR812816610498/RMCPL20319/0","","28494914919","15-Mar-16","10,000.00","","3,96,643.84",
"15-Mar-16","CR812817643125/RMCPL20899/0","","28494946935","15-Mar-16","3,500.00","","3,93,143.84",
"15-Mar-16","AEPS ACQ REP ADJ FEES 100","","28494963231","15-Mar-16","","29.5","3,93,173.34",
"15-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494881047","15-Mar-16","","2,49,88,000.00","2,53,81,173.34",
"15-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494878374","15-Mar-16","","2,28,63,500.00","4,82,44,673.34",
"15-Mar-16","Indiaforensic AEPS NPCI WDL SET","","28494975349","15-Mar-16","","1,21,78,400.00","6,04,23,073.34",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494876376","15-Mar-16","1,50,00,000.00","","4,54,23,073.34",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494973867","15-Mar-16","1,50,00,000.00","","3,04,23,073.34",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494865402","15-Mar-16","1,50,00,000.00","","1,54,23,073.34",
"15-Mar-16","TRF TO","Indiaforensic SERVICES I","28494973411","15-Mar-16","1,50,00,000.00","","4,23,073.34",
"15-Mar-16","AEPS ACQUIRING ADJ FEES 1","","28494965947","15-Mar-16","24","","4,23,049.74",
"15-Mar-16","AEPS ACQ CR ADJ FEES 1105","","28494893371","15-Mar-16","47","","4,23,002.54",
"15-Mar-16","CR812911810893/RMCPL25418/0","","28494882564","15-Mar-16","1,000.00","","4,22,002.54",
"15-Mar-16","CR812911810891/RMCPL16314/0","","28494868452","15-Mar-16","1,000.00","","4,21,002.54",
"15-Mar-16","CR812911822799/RMCPL19555/0","","28494905923","15-Mar-16","500","","4,20,502.54",
"15-Mar-16","CR812917912910/RMCPL23858/0","","28494890486","15-Mar-16","10,000.00","","4,10,502.54",
