"","","","","","",""
"TABLE 1","","","","","",""
"","","","","","",""
"DATE","TRANSACTION DETAILS","CHQ.NO./ Ref No.","VALUE DATE","WITHDRAWAL AMT","DEPOSIT AMT","BALANCE AMT"
"01 - Jan - 15","TRF FROM Indiaforensic SERVICES","28494924977","01 - Jan - 15","","10,00,000.00","10,00,000.00"
"01 - Jan - 15","TRF FROM Indiaforensic SERVICES","28494879059","01 - Jan - 151","","10,00,000.00","19,99,999.00"
"01 - Jan - 15","FDRL / INTERNAL FUND TRANSFER","28494955546","01 - Jan - 15","","5,00,000.00","24,99,999.00"
"02 - Jan - 15","TRF FRM Indiaforensic SERVICES","28494890801","02 - Jan - 15 .","","30,00,000.00","54,99,999.00"
"","FDRL / INTERNAL FUND TRANSFER","28494863821","","","5,00,000.00","59,99,999.00"
"02 - Jan - 15","FDRL / INTERNAL FUND TRANSFER","28494885357","02 - Jan - 15","","5,00,000.00","64,99,999.00"
"02 - Jan - 15","FDRL / INTERNAL FUND TRANSFER","28494925698","02 - Jan - 15","","5,00,000.00","69,99,999.00"
"02 - Jan - 15","FDRL / INTERNAL FUND TRANSFER","28494949082","02 - Jan - 15","","5,00,000.00","74,99,999.00"
"02 - Jan - 15","FDRL / INTERNAL FUND TRANSFER","28494879547","02 - Jan - 15","","5,00,000.00","79,99,999.00"
"02 - Jan - 15","","28494945225","02 - Jan - 15","","5,00,000,00","84,99,999.00"
"02 - Jan - 15","INDO GIBL Indiaforensic STL01071","28494965624","02 - Jan - 15","1,33,900.00","","83,66,099.00"
"","INDO GIBL Indiaforensic STL02071","28494897004","","18,00,000.00","","65,66,099.00"
"02 - Jan - 15","INDO GIBL Indiaforensic STL03071","28494947159","02 - Jan - 15","50,00,000.00","","15,66,099.00"
"03 - Jan - 15","INDO GIBL Indiaforensic STL04071","28494911751","03 - Jan - 15","1,95,800.00","","13,70,299.00"
"03 - Jan - 15","INDO GIBL Indiaforensic STL05071","28494918743","03 - Jan - 15 .","81,600.00","","12,88,699.00"
"03 - Jan - 15","INDO GIBL Indiaforensic STL06071","28494918300","03 - Jan - 15","41.800.00","","12.46,899.00"
"03 - Jan - 15","INDO GIBL Indiaforensic STL07071","28494876586","03 - Jan - 15","98,50,000.00","","-86,03,101.00"
"05 - Jan - 15","INDO GIBL Indiaforensic STL10071","28494960197","05 - Jan - 15","","98487384","8,98,84,283.00"
"05 - Jan - 15","INDO GIBL Indiaforensic STL11071","28494867308","05 - Jan - 15","3.31.650.00","","8,95,52,633.00"
"05 - Jan - 15","INDO GIBL Indiaforensic STL12071","28494877713","05 - Jan - 15","1,29,000.00","","8,94,23,633.00"
