,,,,,,
TABLE 1,,,,,,
,,,,,,
DATE,TRANSACTION DETAILS,CHQ.NO./ Ref No.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
01 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494924977.0,01 - Jan - 15,,1000000.0,1000000.0
01 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494879059.0,01 - Jan - 151,,1000000.0,1999999.0
01 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494955546.0,01 - Jan - 15,,500000.0,2499999.0
02 - Jan - 15,TRF FRM Indiaforensic SERVICES,28494890801.0,02 - Jan - 15 .,,3000000.0,5499999.0
,FDRL / INTERNAL FUND TRANSFER,28494863821.0,,,500000.0,5999999.0
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494885357.0,02 - Jan - 15,,500000.0,6499999.0
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494925698.0,02 - Jan - 15,,500000.0,6999999.0
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494949082.0,02 - Jan - 15,,500000.0,7499999.0
02 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494879547.0,02 - Jan - 15,,500000.0,7999999.0
02 - Jan - 15,,28494945225.0,02 - Jan - 15,,50000000.0,8499999.0
02 - Jan - 15,INDO GIBL Indiaforensic STL01071,28494965624.0,02 - Jan - 15,133900.0,,8366099.0
,INDO GIBL Indiaforensic STL02071,28494897004.0,,1800000.0,,6566099.0
02 - Jan - 15,INDO GIBL Indiaforensic STL03071,28494947159.0,02 - Jan - 15,5000000.0,,1566099.0
03 - Jan - 15,INDO GIBL Indiaforensic STL04071,28494911751.0,03 - Jan - 15,195800.0,,1370299.0
03 - Jan - 15,INDO GIBL Indiaforensic STL05071,28494918743.0,03 - Jan - 15 .,81600.0,,1288699.0
03 - Jan - 15,INDO GIBL Indiaforensic STL06071,28494918300.0,03 - Jan - 15,41.800.00,,12.46899.00
