DATE,TRANSACTION DETAILS,CHQ,VALUE DATE,WITHDRAWAL AMT
1 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494924977.0,1 - Jan - 15,
1 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494879059.0,1 - Jan - 15,
1 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494955546.0,1 - Jan - 15,
2 - Jan - 15,TRF FRM Indiaforensic SERVICES,28494890801.0,2 - Jan - 15,
,FDRL / INTERNAL FUND TRANSFER,28494863821.0,,
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494885357.0,2 - Jan - 15,
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494925698.0,2 - Jan - 15,
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494949082.0,2 - Jan - 15,
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,,2 - Jan - 15,
2 - Jan - 15,,28494945225.0,2 - Jan - 15,
2 - Jan - 15,INDO GIBL Indiaforensic STL01071,28494965624.0,2 - Jan - 15,"133,900"
,INDO GIBL Indiaforensic STL02071,28494897004.0,,"1,800,000"
2 - Jan - 15,INDO GIBL Indiaforensic STL03071,28494947159.0,2 - Jan - 15,"5,000,000"
3 - Jan - 15,INDO GIBL Indiaforensic STL04071,28494911751.0,3 - Jan - 15,"195,800"
3 - Jan - 15,INDO GIBL Indiaforensic STL05071,28494918743.0,3 - Jan - 15,"81,600"
3 - Jan - 15,INDO GIBL Indiaforensic STL06071,28494918300.0,3 - Jan - 15,"41,800"
3 - Jan - 15,INDO GIBL Indiaforensic STL07071,28494876586.0,3 - Jan - 15,"9,850,000"
5 - Jan - 15,INDO GIBL Indiaforensic STL10071,28494960197.0,5 - Jan - 15,
5 - Jan - 15,INDO GIBL Indiaforensic STL11071,28494867308.0,5 - Jan - 15,"331,650"
5 - Jan - 15,INDO GIBL Indiaforensic STL12071,28494877713.0,5 - Jan - 15,"129,000"
5 - Jan - 15,INDO GIBL Indiaforensic STL13071,28494930171.0,5 - Jan - 15,"230,013"
5 - Jan - 15,INDO GIBL Indiaforensic STL14071,28494927118.0,5 - Jan - 15,"367,900"
5 - Jan - 15,INDO GIBL Indiaforensic STL15071,28494973661.0,5 - Jan - 15,"108,000"
5 - Jan - 15,INDO GIBL Indiaforensic STL16071,28494912451.0,5 - Jan - 15,"64,800"
5 - Jan - 15,INDO GIBL Indiaforensic STL17071,28494880266.0,5 - Jan - 15,"141,000"
5 - Jan - 15,INDO GIBL Indiaforensic STL18071,28494880897.0,5 - Jan - 15,"61,750"
5 - Jan - 15,INDO GIBL Indiaforensic STL19071,28494901044.0,5 - Jan - 15,"67,920"
5 - Jan - 15,INDO GIBL Indiaforensic STL20071,28494965834.0,5 - Jan - 15,"78,100"
5 - Jan - 15,INDO GIBL Indiaforensic STL21071,28494888819.0,5 - Jan - 15,"35,650"
6 - Jan - 15,INDO GIBL Indiaforensic STL22071,28494893861.0,6 - Jan - 15,"206,000"
6 - Jan - 15,INDO GIBL Indiaforensic STL24071,28494911990.0,6 - Jan - 15,"35,300"
6 - Jan - 15,INDO GIBL Indiaforensic STL25071,28494911751.0,6 - Jan - 15,"49,800"
6 - Jan - 15,INDO GIBL Indiaforensic STL26071,28494973384.0,6 - Jan - 15,"53,000"
6 - Jan - 15,INDO GIBL Indiaforensic STL27071,28494884340.0,6 - Jan - 15,"91,300"
6 - Jan - 15,INDO GIBL Indiaforensic STL28071,28494942065.0,6 - Jan - 15,"57,499"
7 - Jan - 15,INDO GIBL Indiaforensic STL30071,28494894067.0,7 - Jan - 15,"20,000"
,INDO GIBL Indiaforensic STL31071,28494949297.0,,"19,400"
7 - Jan - 15,INDO GIBL Indiaforensic STL01081,28494884546.0,7 - Jan - 15,"40,500"
7 - Jan - 15,INDO GIBL Indiaforensic STL02081,28494918410.0,7 - Jan - 15,"242,300"
8 - Jan - 15,INDO GIBL Indiaforensic STL03081,28494920133.0,8 - Jan - 15,"90,100"
8 - Jan - 15,INDO GIBL Indiaforensic STL04081,28494880910.0,8 - Jan - 15,"113,250"
8 - Jan - 15,INDO GIBL Indiaforensic STL05081,28494883166.0,8 - Jan - 15,"12,500"
8 - Jan - 15,INDO GIBL Indiaforensic STL06081,28494943114.0,8 - Jan - 15,"40,000"
9 - Jan - 15,INDO GIBL Indiaforensic STL07081,28494895264.0,9 - Jan - 15,"206,900"
9 - Jan - 15,INDO GIBL Indiaforensic STL08081,28494916859.0,9 - Jan - 15,"276,000"
9 - Jan - 15,INDO GIBL Indiaforensic STL09081,28494926549.0,9 - Jan - 15,"171,000"
