,,,,,,
DATE,TRANSACTION DETAILS,CHQ.NO./ Ref No.,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
1 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494924977,1 - Jan - 15,,"1,000,000.00","1,000,000.00"
1 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494879059,1 - Jan - 15,,"1,000,000.00","1,999,999.00"
1 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494955546,1 - Jan - 15,,"500,000.00","2,499,999.00"
2 - Jan - 15,TRF FRM Indiaforensic SERVICES,28494890801,2 - Jan - 15,,"3,000,000.00","5,499,999.00"
,FORL / INTERNAL FUND TRANSFER,28494863821,,,"500,000.00","5,999,999.00"
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494885357,2 - Jan - 15,,"500,000.00","6,499,999.00"
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494925698,2 - Jan - 15,,"500,000.00","6,999,999.00"
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494949082,2 - Jan - 15,,"500,000.00","7,499,999.00"
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,,2 - Jan - 15,,"500,000.00","7,999,999.00"
2 - Jan - 15,,28494945225,2 - Jan - 15,,"500,000.00","8,499,999.00"
2 - Jan - 15,INDO GIBL Indiaforensic STL01071,28494965624,2 - Jan - 15,133.900.00,,"8,366,099.00"
,INDO GIBL Indiaforensic STL02071,28494897004,,"1,800,000.00",,"6,566,099.00"
2 - Jan - 15,INDO GIBL Indiaforensic STL03071,28494947159,2 - Jan - 15,"5,000,000.00",,"1,566,099.00"
3 - Jan - 15,INDO GIBL Indiaforensic STL04071,28494911751,3 - Jan - 15,"195,800.00",,"1,370,299.00"
3 - Jan - 15,INDO GIBL Indiaforensic STL05071,28494918743,3 - Jan - 15,"81,600.00",,"1,288,699.00"
3 - Jan - 15,INDO GIBL Indiaforensic STL06071,28494918300,3 - Jan - 15,"41,800.00",,"1,246,899.00"
3 - Jan - 15,INDO GIBL Indiaforensic STL07071,28494876586,3 - Jan - 15,"9,850,000.00",,"-8,603,101.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL10071,28494960197,5 - Jan - 15,,98487384,"89,884,283.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL11071,28494867308,5 - Jan - 15,"331,650.00",,"89,552,633.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL12071,28494877713,5 - Jan - 15,"129,000.00",,"89,423,633.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL13071,28494930171,5 - Jan - 15,"230,013.00",,"89,193,620.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL14071,28494927118,5 - Jan - 15,"367,900.00",,"88,825,720.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL15071,28494973661,5 - Jan - 15,"108,000.00",,"88,717,720.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL16071,28494912451,5 - Jan - 15,"64,800.00",,"88,652,920.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL17071,28494880266,5 - Jan - 15,"141,000.00",,"88,511,920.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL18071,28494880897,5 - Jan - 15,"61,750.00",,"88,450,170.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL19071,28494901044,5 - Jan - 15,"67,920.00",,"88,382,250.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL20071,28494965834,5 - Jan - 15,"78,100.00",,"88,304,150.00"
5 - Jan - 15,INDO GIBL Indiaforensic STL21071,28494888819,5 - Jan - 15,"35,650.00",,"88,268,500.00"
6 - Jan - 15,INDO GIBL Indiaforensic STL22071,28494893861,6 - Jan - 15,"206,000.00",,"88,062,500.00"
6 - Jan - 15,INDO GIBL Indiaforensic STL24071,28494911990,6 - Jan - 15,"35,300.00",,"88,027,200.00"
6 - Jan - 15,INDO GIBL Indiaforensic STL25071,28494911751,6 - Jan - 15,"49,800.00",,"87,977,380.00"
6 - Jan - 15,INDO GIBL Indiaforensic STL26071,28494973384,6 - Jan - 15,"53,000.00",,"87,924,380.00"
6 - Jan - 15,INDO GIBL Indiaforensic STL27071,28494884340,6 - Jan - 15,91.300.00,,"87,833,080.00"
6 - Jan - 15,INDO GIBL Indiaforensic STL28071,28494942065,6 - Jan - 15,"57,499.00",,"87,775,581.00"
7 - Jan - 15,INDO GIBL Indiaforensic STL30071,28494894067,7 - Jan - 15,"20,000.00",,"87,755,571.00"
,INDO GIBL Indiaforensic STL31071,28494949297,,"19,400.00",,"87,736,171.00"
7 - Jan - 15,INDO GIBL Indiaforensic STL01081,28494884546,7 - Jan - 15,"40,500.00",,"87,695,671.00"
7 - Jan - 15,INDO GIBL Indiaforensic STL02081,28494918410,7 - Jan - 15,"242,300.00",,"87,453,371.00"
8 - Jan - 15,INDO GIBL Indiaforensic STL03081,28494920133,8 - Jan - 15,"90,100.00",,"87,363,271.00"
8 - Jan - 15,INDO GIBL Indiaforensic STL04081,28494880910,8 - Jan - 15,"113,250.00",,"87,250,021.00"
8 - Jan - 15,INDO GIBL Indiaforensic STL05081,28494883166,8 - Jan - 15,"12,500.00",,"87,237,521.00"
8 - Jan - 15,INDO GIBL Indiaforensic STL06081,28494943114,8 - Jan - 15,"40,000.00",,"87,197,521.00"
9 - Jan - 15,INDO GIBL Indiaforensic STL07081,28494895264,9 - Jan - 15,"206,900.00",,"86,990,621.00"
9 - Jan - 15,INDO GIBL Indiaforensic STL08081,28494916859,9 - Jan - 15,"276,000.00",,"86,714,621,00"
9 - Jan - 15,INDO GIBL Indiaforensic STL09081,28494926549,9 - Jan - 15,171.000.00,,"86,543,621.00"
9 - Jan - 15,INDO GIBL Indiaforensic STL10081,28494943592,9 - Jan - 15,"40,100.00",,"86,503,521.00"
10 - Jan - 15,INDO GIBL Indiaforensic STL11081,28494927668,10 - Jan - 15,"189,800.00",,"86,313,721.00"
10 - Jan - 15,INDO GIBL Indiaforensic STL12081,28494929541,10 - Jan - 15,"55,800.00",,"86,257,921.00"
10 - Jan - 15,INDO GIBL Indiaforensic STL13081,28494860446,10 - Jan - 15,"95,400.00",,"86,162,521.00"
10 - Jan - 151,INDO GIBL Indiaforensic STL14081,28494931627,10 - Jan - 15,"271,323.00",,"85,891,198.00"
10 - Jan - 15,INDO GIBL Indiaforensic STL16081,28494879060,10 - Jan - 15,"200,600.00",,"85,690,598.00"
10 - Jan - 15,INDO GIBL Indiaforensic STL17081,28494868910,10 - Jan - 15,"176,900.00",,"85,513,698.00"
10 - Jan - 15,INDO GIBL Indiaforensic STL18081,28494893197,10 - Jan - 15,"150,050.00",,"85,363,648.00"
10 - Jan - 15,INDO GIBL Indiaforensic STL19081,28494897250,10 - Jan - 15,"82,500.00",,"85,281,148.00"
10 - Jan - 15,INDO GIBL Indiaforensic STL20081,28494953197,10 - Jan - 15,"14,800.00",,"85,266,348.00"
10 - Jan - 15,INDO GIBL Indiaforensic STL21081,28494934917,10 - Jan - 15 .,"150,600.00",,"85,115,748.00"
10 - Jan - 15,INDO GIBL Indiaforensic STL22081,28494925084,10 - Jan - 15,"203,325.00",,"84,912,423.00"
10 - Jan - 15,INDO GIBL Indiaforensic STL23081,28494931873,10 - Jan - 15,"123,900.00",,"84,788,523.00"
12 - Jan - 15,INDO GIBL Indiaforensic STL24081,28494887040,12 - Jan - 15,"33,863.00",,"84,754,660.00"
12 - Jan - 15,INDO GIBL Indiaforensic STL25081,28494967834,12 - Jan - 15,"32,000.00",,"84,722,660.00"
12 - Jan - 15,INDO GIBL Indiaforensic STL26081,28494933112,12 - Jan - 15,"8,299.00",,"84,714,361.00"
