,,,,,,
DATE,TRANSACTION DETAILS,CHQ,VALUE DATE,WITHDRAWAL AMT,DEPOSIT AMT,BALANCE AMT
1 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494924977.0,1 - Jan - 15,,"1,000,000","1,000,000"
1 - Jan - 15,TRF FROM Indiaforensic SERVICES,28494879059.0,1 - Jan - 15,,"1,000,000","1,999,999"
1 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494955546.0,1 - Jan - 15,,"500,000","2,499,999"
2 - Jan - 15,TRF FRM Indiaforensic SERVICES,28494890801.0,2 - Jan - 15,,"3,000,000","5,499,999"
,FORL / INTERNAL FUND TRANSFER,28494863821.0,,,"500,000","5,999,999"
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494885357.0,2 - Jan - 15,,"500,000","6,499,999"
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494925698.0,2 - Jan - 15,,"500,000","6,999,999"
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,28494949082.0,2 - Jan - 15,,"500,000","7,499,999"
2 - Jan - 15,FDRL / INTERNAL FUND TRANSFER,,2 - Jan - 15,,"500,000","7,999,999"
2 - Jan - 15,,28494945225.0,2 - Jan - 15,,"500,000","8,499,999"
2 - Jan - 15,INDO GIBL Indiaforensic STL01071,28494965624.0,2 - Jan - 15,133.0,,"8,366,099"
,INDO GIBL Indiaforensic STL02071,28494897004.0,,"1,800,000",,"6,566,099"
2 - Jan - 15,INDO GIBL Indiaforensic STL03071,28494947159.0,2 - Jan - 15,"5,000,000",,"1,566,099"
3 - Jan - 15,INDO GIBL Indiaforensic STL04071,28494911751.0,3 - Jan - 15,"195,800",,"1,370,299"
3 - Jan - 15,INDO GIBL Indiaforensic STL05071,28494918743.0,3 - Jan - 15,"81,600",,"1,288,699"
3 - Jan - 15,INDO GIBL Indiaforensic STL06071,28494918300.0,3 - Jan - 15,"41,800",,"1,246,899"
3 - Jan - 15,INDO GIBL Indiaforensic STL07071,28494876586.0,3 - Jan - 15,"9,850,000",,"-8,603,101"
5 - Jan - 15,INDO GIBL Indiaforensic STL10071,28494960197.0,5 - Jan - 15,,98487384.0,"89,884,283"
5 - Jan - 15,INDO GIBL Indiaforensic STL11071,28494867308.0,5 - Jan - 15,"331,650",,"89,552,633"
5 - Jan - 15,INDO GIBL Indiaforensic STL12071,28494877713.0,5 - Jan - 15,"129,000",,"89,423,633"
5 - Jan - 15,INDO GIBL Indiaforensic STL13071,28494930171.0,5 - Jan - 15,"230,013",,"89,193,620"
5 - Jan - 15,INDO GIBL Indiaforensic STL14071,28494927118.0,5 - Jan - 15,"367,900",,"88,825,720"
5 - Jan - 15,INDO GIBL Indiaforensic STL15071,28494973661.0,5 - Jan - 15,"108,000",,"88,717,720"
5 - Jan - 15,INDO GIBL Indiaforensic STL16071,28494912451.0,5 - Jan - 15,"64,800",,"88,652,920"
5 - Jan - 15,INDO GIBL Indiaforensic STL17071,28494880266.0,5 - Jan - 15,"141,000",,"88,511,920"
5 - Jan - 15,INDO GIBL Indiaforensic STL18071,28494880897.0,5 - Jan - 15,"61,750",,"88,450,170"
5 - Jan - 15,INDO GIBL Indiaforensic STL19071,28494901044.0,5 - Jan - 15,"67,920",,"88,382,250"
5 - Jan - 15,INDO GIBL Indiaforensic STL20071,28494965834.0,5 - Jan - 15,"78,100",,"88,304,150"
5 - Jan - 15,INDO GIBL Indiaforensic STL21071,28494888819.0,5 - Jan - 15,"35,650",,"88,268,500"
6 - Jan - 15,INDO GIBL Indiaforensic STL22071,28494893861.0,6 - Jan - 15,"206,000",,"88,062,500"
6 - Jan - 15,INDO GIBL Indiaforensic STL24071,28494911990.0,6 - Jan - 15,"35,300",,"88,027,200"
6 - Jan - 15,INDO GIBL Indiaforensic STL25071,28494911751.0,6 - Jan - 15,"49,800",,"87,977,380"
6 - Jan - 15,INDO GIBL Indiaforensic STL26071,28494973384.0,6 - Jan - 15,"53,000",,"87,924,380"
6 - Jan - 15,INDO GIBL Indiaforensic STL27071,28494884340.0,6 - Jan - 15,91.0,,"87,833,080"
6 - Jan - 15,INDO GIBL Indiaforensic STL28071,28494942065.0,6 - Jan - 15,"57,499",,"87,775,581"
7 - Jan - 15,INDO GIBL Indiaforensic STL30071,28494894067.0,7 - Jan - 15,"20,000",,"87,755,571"
,INDO GIBL Indiaforensic STL31071,28494949297.0,,"19,400",,"87,736,171"
7 - Jan - 15,INDO GIBL Indiaforensic STL01081,28494884546.0,7 - Jan - 15,"40,500",,"87,695,671"
7 - Jan - 15,INDO GIBL Indiaforensic STL02081,28494918410.0,7 - Jan - 15,"242,300",,"87,453,371"
8 - Jan - 15,INDO GIBL Indiaforensic STL03081,28494920133.0,8 - Jan - 15,"90,100",,"87,363,271"
8 - Jan - 15,INDO GIBL Indiaforensic STL04081,28494880910.0,8 - Jan - 15,"113,250",,"87,250,021"
