"DATE","TRANSACTION DETAILS","CHQ.NO./ Ref No.","VALUE DATE","WITHDRAWAL AMT","DEPOSIT AMT","BALANCE AMT",
"01-Jan-15","TRF FROM","Indiaforensic SERVICES","28494924977","01-Jan-15","10,00,000.00","10,00,000.00",
"01-Jan-15","TRF FROM","Indiaforensic SERVICES","28494879059","01-Jan-15","10,00,000.00","19,99,999.00",
"01-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494955546","01-Jan-15","","5,00,000.00","24,99,999.00",
"02-Jan-15","TRF FRM","Indiaforensic SERVICES","28494890801","02-Jan-15","30,00,000.00","54,99,999.00",
"","FDRL/INTERNAL FUND TRANSFER","28494863821","","","5,00,000.00","59,99,999.00",
"02-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494885357","02-Jan-15","","5,00,000.00","64,99,999.00",
"02-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494925698","02-Jan-15","","5,00,000.00","69,99,999.00",
"02-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494949082","02-Jan-15","","5,00,000.00","74,99,999.00",
"02-Jan-15","FDRL/INTERNAL FUND TRANSFER","28494879547","02-Jan-15","","5,00,000.00","79,99,999.00",
"02-Jan-15","","28494945225","02-Jan-15","","5,00,000.00","84,99,999.00",
"02-Jan-15","INDO GIBL Indiaforensic STL01071","28494965624","02-Jan-15","1,33,900.00","","83,66,099.00",
"","INDO GIBL Indiaforensic STL02071","28494897004","","18,00,000.00","","65,66,099.00",
"02-Jan-15","INDO GIBL Indiaforensic STL03071","28494947159","02-Jan-15","50,00,000.00","","15,66,099.00",
"03-Jan-15","INDO GIBL Indiaforensic STL04071","28494911751","03-Jan-15","1,95,800.00","","13,70,299.00",
"03-Jan-15","INDO GIBL Indiaforensic STL05071","28494918743","03-Jan-15","81,600.00","","12,88,699.00",
"03-Jan-15","INDO GIBL Indiaforensic STL06071","28494918300","03-Jan-15","41,800.00","","12,46,899.00",
"03-Jan-15","INDO GIBL Indiaforensic STL07071","28494876586","03-Jan-15","98,50,000.00","","-86,03,101.00",
"05-Jan-15","INDO GIBL Indiaforensic STL10071","28494960197","05-Jan-15","","98487384","8,98,84,283.00",
"05-Jan-15","INDO GIBL Indiaforensic STL11071","28494867308","05-Jan-15","3,31,650.00","","8,95,52,633.00",
"05-Jan-15","INDO GIBL Indiaforensic STL12071","28494877713","05-Jan-15","1,29,000.00","","8,94,23,633.00",
"05-Jan-15","INDO GIBL Indiaforensic STL13071","28494930171","05-Jan-15","2,30,013.00","","8,91,93,620.00",
"05-Jan-15","INDO GIBL Indiaforensic STL14071","28494927118","05-Jan-15","3,67,900.00","","8,88,25,720.00",
"05-Jan-15","INDO GIBL Indiaforensic STL15071","28494973661","05-Jan-15","1,08,000.00","","8,87,17,720.00",
"05-Jan-15","INDO GIBL Indiaforensic STL16071","28494912451","05-Jan-15","64,800.00","","8,86,52,920.00",
"05-Jan-15","INDO GIBL Indiaforensic STL17071","28494880266","05-Jan-15","1,41,000.00","","8,85,11,920.00",
"05-Jan-15","INDO GIBL Indiaforensic STL18071","28494880897","05-Jan-15","61,750.00","","8,84,50,170.00",
"05-Jan-15","INDO GIBL Indiaforensic STL19071","28494901044","05-Jan-15","67,920.00","","8,83,82,250.00",
"05-Jan-15","INDO GIBL Indiaforensic STL20071","28494965834","05-Jan-15","78,100.00","","8,83,04,150.00",
"05-Jan-15","INDO GIBL Indiaforensic STL21071","28494888819","05-Jan-15","35,650.00","","8,82,68,500.00",
"06-Jan-15","INDO GIBL Indiaforensic STL22071","28494893861","06-Jan-15","2,06,000.00","","8,80,62,500.00",
"06-Jan-15","INDO GIBL Indiaforensic STL24071","28494911990","06-Jan-15","35,300.00","","8,80,27,200.00",
"06-Jan-15","INDO GIBL Indiaforensic STL25071","28494911751","06-Jan-15","49,800.00","","8,79,77,380.00",
"06-Jan-15","INDO GIBL Indiaforensic STL26071","28494973384","06-Jan-15","53,000.00","","8,79,24,380.00",
"06-Jan-15","INDO GIBL Indiaforensic STL27071","28494884340","06-Jan-15","91,300.00","","8,78,33,080.00",
"06-Jan-15","INDO GIBL Indiaforensic STL28071","28494942065","06-Jan-15","57,499.00","","8,77,75,581.00",
"07-Jan-15","INDO GIBL Indiaforensic STL30071","28494894067","07-Jan-15","20,000.00","","8,77,55,571.00",
"","INDO GIBL Indiaforensic STL31071","28494949297","","19,400.00","","8,77,36,171.00",
"07-Jan-15","INDO GIBL Indiaforensic STL01081","28494884546","07-Jan-15","40,500.00","","8,76,95,671.00",
"07-Jan-15","INDO GIBL Indiaforensic STL02081","28494918410","07-Jan-15","2,42,300.00","","8,74,53,371.00",
"08-Jan-15","INDO GIBL Indiaforensic STL03081","28494920133","08-Jan-15","90,100.00","","8,73,63,271.00",
"08-Jan-15","INDO GIBL Indiaforensic STL04081","28494880910","08-Jan-15","1,13,250.00","","8,72,50,021.00",
"08-Jan-15","INDO GIBL Indiaforensic STL05081","28494883166","08-Jan-15","12,500.00","","8,72,37,521.00",
"08-Jan-15","INDO GIBL Indiaforensic STL06081","28494943114","08-Jan-15","40,000.00","","8,71,97,521.00",
"09-Jan-15","INDO GIBL Indiaforensic STL07081","28494895264","09-Jan-15","2,06,900.00","","8,69,90,621.00",
"09-Jan-15","INDO GIBL Indiaforensic STL08081","28494916859","09-Jan-15","2,76,000.00","","8,67,14,621.00",
"09-Jan-15","INDO GIBL Indiaforensic STL09081","28494926549","09-Jan-15","1,71,000.00","","8,65,43,621.00",
"09-Jan-15","INDO GIBL Indiaforensic STL10081","28494943592","09-Jan-15","40,100.00","","8,65,03,521.00",
"10-Jan-15","INDO GIBL Indiaforensic STL11081","28494927668","10-Jan-15","1,89,800.00","","8,63,13,721.00",
"10-Jan-15","INDO GIBL Indiaforensic STL12081","28494929541","10-Jan-15","55,800.00","","8,62,57,921.00",
"10-Jan-15","INDO GIBL Indiaforensic STL13081","28494860446","10-Jan-15","95,400.00","","8,61,62,521.00",
"10-Jan-15","INDO GIBL Indiaforensic STL14081","28494931627","10-Jan-15","2,71,323.00","","8,58,91,198.00",
"10-Jan-15","INDO GIBL Indiaforensic STL16081","28494879060","10-Jan-15","2,00,600.00","","8,56,90,598.00",
"10-Jan-15","INDO GIBL Indiaforensic STL17081","28494868910","10-Jan-15","1,76,900.00","","8,55,13,698.00",
"10-Jan-15","INDO GIBL Indiaforensic STL18081","28494893197","10-Jan-15","1,50,050.00","","8,53,63,648.00",
"10-Jan-15","INDO GIBL Indiaforensic STL19081","28494897250","10-Jan-15","82,500.00","","8,52,81,148.00",
"10-Jan-15","INDO GIBL Indiaforensic STL20081","28494953197","10-Jan-15","14,800.00","","8,52,66,348.00",
"10-Jan-15","INDO GIBL Indiaforensic STL21081","28494934917","10-Jan-15","1,50,600.00","","8,51,15,748.00",
"10-Jan-15","INDO GIBL Indiaforensic STL22081","28494925084","10-Jan-15","2,03,325.00","","8,49,12,423.00",
"10-Jan-15","INDO GIBL Indiaforensic STL23081","28494931873","10-Jan-15","1,23,900.00","","8,47,88,523.00",
"12-Jan-15","INDO GIBL Indiaforensic STL24081","28494887040","12-Jan-15","33,863.00","","8,47,54,660.00",
"12-Jan-15","INDO GIBL Indiaforensic STL25081","28494967834","12-Jan-15","32,000.00","","8,47,22,660.00",
"12-Jan-15","INDO GIBL Indiaforensic STL26081","28494933112","12-Jan-15","8,299.00","","8,47,14,361.00",
"12-Jan-15","INDO GIBL Indiaforensic STL28081","28494908554","12-Jan-15","52,219.00","","8,46,62,142.00",
"13-Jan-15","INDO GIBL Indiaforensic STL29081","28494871495","13-Jan-15","96,450.00","","8,45,65,692.00",
"13-Jan-15","INDO GIBL Indiaforensic STL30081","28494917911","13-Jan-15","1,39,863.00","","8,44,25,829.00",
"13-Jan-15","INDO GIBL Indiaforensic STL31081","28494877319","13-Jan-15","52,723.00","","8,43,73,106.00",
"13-Jan-15","INDO GIBL Indiaforensic STL01091","28494871186","13-Jan-15","77,251.00","","8,42,95,855.00",
"14-Jan-15","INDO GIBL Indiaforensic STL02091","28494908017","14-Jan-15","20,000.00","","8,42,75,855.00",
"","INDO GIBL Indiaforensic STL03091","28494934619","","10,000.00","","8,42,65,855.00",
"14-Jan-15","INDO GIBL Indiaforensic STL04091","28494897747","14-Jan-15","1,03,600.00","","8,41,62,255.00",
